Eingegangen am;Mangel Nr.;Typ;Status
18.05.2018 11:12:55;327;Parkverstöße;Behoben
18.05.2018 11:14:27;328;Parkverstöße;Behoben
18.05.2018 11:17:55;329;Parkverstöße;Behoben
18.05.2018 11:19:59;330;Parkverstöße;Behoben
21.05.2018 14:02:40;331;Sonstige Mängel;Abgelehnt
21.05.2018 14:09:32;332;Sonstige Mängel;Behoben
22.05.2018 15:26:52;333;Sonstige Mängel;Behoben
22.05.2018 21:46:01;334;Sonstige Mängel;Behoben
24.05.2018 08:26:06;335;Parkverstöße;Behoben
24.05.2018 16:03:01;336;Sonstige Mängel;Behoben
24.05.2018 16:44:20;337;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
24.05.2018 18:02:56;338;Defekte Ampelanlagen oder Verkehrsschilder;Abgelehnt
25.05.2018 13:58:06;339;Parkverstöße;Behoben
26.05.2018 12:38:12;340;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
27.05.2018 11:39:08;341;Sonstige Mängel;Behoben
27.05.2018 11:50:42;342;Parkverstöße;Behoben
27.05.2018 14:15:13;343;Abgestellte Autos ohne Kennzeichen;Behoben
27.05.2018 14:48:54;344;Sonstige Mängel;Behoben
28.05.2018 14:22:17;345;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
28.05.2018 16:29:49;346;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
29.05.2018 06:29:50;347;Abgestellte Autos ohne Kennzeichen;Behoben
29.05.2018 20:55:50;348;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
30.05.2018 07:37:40;349;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
30.05.2018 10:01:36;350;Parkverstöße;Behoben
02.06.2018 09:31:35;351;Sonstige Mängel;Behoben
02.06.2018 11:53:33;352;Abgestellte Autos ohne Kennzeichen;Behoben
02.06.2018 17:56:51;353;Sonstige Mängel;Behoben
03.06.2018 10:43:50;354;Lärm- oder Geruchsbelästigung;Abgelehnt
03.06.2018 11:37:57;355;Störungen in Grünanlagen und Landschaftsschutzgebieten;Behoben
03.06.2018 12:38:05;356;Parkverstöße;Behoben
03.06.2018 17:34:01;357;Sonstige Mängel;Behoben
04.06.2018 06:05:39;358;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
